Store Prod ID,Store ID,Product ID
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,2,1
27,2,2
28,2,3
29,2,4
30,2,5
31,2,6
32,2,7
33,2,8
34,2,9
35,2,10
36,2,11
37,2,12
38,2,13
39,2,14
40,2,15
41,2,16
42,2,17
43,2,18
44,2,19
45,2,20
46,2,21
47,2,22
48,2,23
49,2,24
50,2,25
51,3,1
52,3,2
53,3,3
54,3,4
55,3,5
56,3,6
57,3,7
58,3,8
59,3,9
60,3,10
61,3,11
62,3,12
63,3,13
64,3,14
65,3,15
66,3,16
67,3,17
68,3,18
69,3,19
70,3,20
71,3,21
72,3,22
73,3,23
74,3,24
75,3,25
76,4,1
77,4,2
78,4,3
79,4,4
80,4,5
81,4,6
82,4,7
83,4,8
84,4,9
85,4,10
86,4,11
87,4,12
88,4,13
89,4,14
90,4,15
91,4,16
92,4,17
93,4,18
94,4,19
95,4,20
96,4,21
97,4,22
98,4,23
99,4,24
100,4,25
101,5,1
102,5,2
103,5,3
104,5,4
105,5,5
106,5,6
107,5,7
108,5,8
109,5,9
110,5,10
111,5,11
112,5,12
113,5,13
114,5,14
115,5,15
116,5,16
117,5,17
118,5,18
119,5,19
120,5,20
121,5,21
122,5,22
123,5,23
124,5,24
125,5,25
126,6,1
127,6,2
128,6,3
129,6,4
130,6,5
131,6,6
132,6,7
133,6,8
134,6,9
135,6,10
136,6,11
137,6,12
138,6,13
139,6,14
140,6,15
141,6,16
142,6,17
143,6,18
144,6,19
145,6,20
146,6,21
147,6,22
148,6,23
149,6,24
150,6,25
151,7,1
152,7,2
153,7,3
154,7,4
155,7,5
156,7,6
157,7,7
158,7,8
159,7,9
160,7,10
161,7,11
162,7,12
163,7,13
164,7,14
165,7,15
